,id,track_name,album,artists,popularity,total_tracks_in_album,album_release
0,347H4auwVHcnWIsiYlVGWO,The Stars of Track & Field,If You're Feeling Sinister,Belle and Sebastian,38,10,1996-11-18
1,5zZ0lqZGOlNUcB4oACSjFM,Seeing Other People,If You're Feeling Sinister,Belle and Sebastian,40,10,1996-11-18
2,1cRYQMG4HMteKH3zehWFYw,Me and the Major,If You're Feeling Sinister,Belle and Sebastian,33,10,1996-11-18
3,3GWZX3YtldXCdSQqrzGgV5,Vesuvius,The Age of Adz,Sufjan Stevens,40,11,2010-10-12
4,3l7NAes5qqZu1KuugXUkWE,Pet Carrot,Bent Nail,Palehound,39,6,2013-10-22
5,4Zts9erRexAxILn5XjSwUN,Futile Devices,The Age of Adz,Sufjan Stevens,62,11,2010-10-12
6,5pHNCZCt3daiBXs1lWopBS,Little Eyes,Summer Sun,Yo La Tengo,36,13,2003-04-08
7,0BgPrNelWyvk0C5recZeKE,Sick Beat,Intro Bonito,Kero Kero Bonito,43,15,2014-08-25
8,1yJ5YFWOaYWf6d71ZyzD5r,If You're Feeling Sinister,If You're Feeling Sinister,Belle and Sebastian,37,10,1996-11-18
9,0zb5S00x0wtxOnsOc7nCLU,Before We Begin,Haha Sound,Broadcast,16,14,2003-08-11
10,0TOk6x6xMQuOIvWEuNgqJt,Shabop Shalom,Smokey Rolls Down Thunder Canyon,Devendra Banhart,40,16,2007-09-24
11,3F0mcxksBp33QrL6oyjvLN,Sakura Trees,Buena Vista,Saib,62,6,2017-03-10
12,6pan2rDVvM8Z0c70szJryt,When It Rains,Ipanema,Saib,52,8,2015-04-28
13,5BlmlqySQMeRvRm6YjhwyO,French Disko,Refried Ectoplasm [Switched On Volume 2],Stereolab,32,13,1995-09-28
14,679kKteWidK8xKeRY5QFDI,The Fox in the Snow,If You're Feeling Sinister,Belle and Sebastian,37,10,1996-11-18
15,0GegHVxeozw3rdjte45Bfx,White Winter Hymnal,Fleet Foxes,Fleet Foxes,69,11,2008-06-03
16,4PINSJIlBWsnVeveicq1S8,I'll Be Your Mirror,The Velvet Underground & Nico 45th Anniversary,The Velvet Underground,63,11,1967-03-12
17,1yycinn2WICj4UKGQ9xPjD,太陽さん,マホロボシヤ,Ichiko Aoba,57,11,2016-10-19
18,7iqS4pS1eVQbsJGbJKVwQb,Like Dylan in the Movies,If You're Feeling Sinister,Belle and Sebastian,45,10,1996-11-18
19,17XvbAd3K1GOjWy5uQvK2U,Baby,What Will We Be (Standard),Devendra Banhart,54,14,2009-10-23
20,0xBH1GysY7fy6RJjX8hW5R,"Get Me Away from Here, I'm Dying",If You're Feeling Sinister,Belle and Sebastian,55,10,1996-11-18
21,1hxcBxHHWA57B1xiDPZpNs,City Lounge,City Lounge,Saib,49,1,2020-10-29
22,2WXuEYmzKaQQJbrhLnYYJV,Sleep the Clock Around,The Boy With the Arab Strap,Belle and Sebastian,51,12,1998-09-07
23,2SOuSTml41dWzqtxN4dklr,The State I Am in,Tigermilk,Belle and Sebastian,32,10,1996-01-01
24,4KGGeE7RJsgLNZmnxGFlOj,Falling Behind,Everything I Know About Love,Laufey,64,13,2022-08-26
25,6NNaM2ltdwxcCc6MuR94zO,Tried By 12,TRUE UNDERGROUND HIP HOP 2,The East Flatbush Project,50,12,1999-01-27
26,6poYscuLQG8hvpxNnyeMUV,Get Thy Bearings,The Hurdy Gurdy Man,Donovan,51,13,1968-10-01
27,6pKuJwQJH7ZoYIqBFIOUGD,Shadows,I Can Hear The Heart Beating As One,Yo La Tengo,39,16,1997-04-22
28,4fgIoBKHzO7YO5eATyYbMl,in your arms,in your arms,Saib,51,1,2018-03-07
29,73uJybGAhwGRD9MZYrOmTY,Death with Dignity,Carrie & Lowell,Sufjan Stevens,65,11,2015-03-31
30,4lpHw4twMvrg0pjut49DZz,Every Single Thing,Fresh Air,HOMESHAKE,54,14,2017-02-03
31,5xb2LIv7SFiO1pwWaSqJ8Z,Ease Your Feet in the Sea,The Boy With the Arab Strap,Belle and Sebastian,39,12,1998-09-07
32,1hMWQOLyTCRo6U7aZD73Jq,Summer Haze,Summer Haze,ØDYSSEE,41,1,2022-10-27
33,608wYP5XWenLz8cOSYjX7X,Fragile,Everything I Know About Love,Laufey,61,13,2022-08-26
34,7F41fY9q5e4mOVKpQXydMH,Nothing but You and Me,Summer Sun,Yo La Tengo,21,13,2003-04-08
35,6UU4OTcUXxzHxTyq5tDRjz,Expectations,Tigermilk,Belle and Sebastian,41,10,1996-01-01
36,3D6eU1flnKl9zr9TamgRbY,Season of the Shark,Summer Sun,Yo La Tengo,32,13,2003-04-08
37,3vNwY4KaBRnJP4G6UBJPZH,Chega De Saudade,Inédito,Antônio Carlos Jobim,48,24,2007-06-20
38,5OjpdQLQNF59wsZx9S9b10,All the Trees of the Field Will Clap Their Hands,Seven Swans,Sufjan Stevens,43,12,2004-03-16
39,5C69YlbofWRKFo6DRyXFrl,Metronomic Underground,Emperor Tomato Ketchup (Expanded Edition),Stereolab,23,28,1996-01-01
40,4U6OQYXDMo4o6QvozymTKi,How to Make a Baby Elephant Float,Summer Sun,Yo La Tengo,23,13,2003-04-08
41,1XT5kxg6Tk0ukCO2vBQN4v,Making Plans For Nigel,Drums And Wires,XTC,58,15,1979-08-17
42,2vDC9iyQpY3EsioJD8pRiW,Fifty-fifty Clown,Heaven or Las Vegas,Cocteau Twins,52,10,1990-01-01
43,1L6vtkHvjKWBIym93FmSPP,Smooth,Smooth,Saib,48,1,2017-05-11
44,7fEh1fCvBkpQrEGoRxZGNL,Hotel Valentine,Hotel Valentine,Cibo Matto,17,10,2014-02-11
45,3fSps53A2agi4sDU84AEmQ,I Found The F,Tender Buttons,Broadcast,27,14,2005-09-19
46,2I5Tkmn4xACR7JGFug9hVQ,Is It Wicked Not to Care?,The Boy With the Arab Strap,Belle and Sebastian,34,12,1998-09-07
47,2kiGDKtcjPtWRBHVcRAuJF,Expectations,Tigermilk,Belle and Sebastian,39,10,1996-06-06
48,12homE4JpBey5cckgoepR7,To Be Alone With You,Seven Swans,Sufjan Stevens,61,12,2004-03-16
49,2xFELTbN4G0rgID5uQGLvP,Tears In The Typing Pool,Tender Buttons,Broadcast,30,14,2005-09-19
